id,question,answer,intent,category,notes
273,Що таке маскулінність?,"Це уявлення, моделі поведінки та соціальні ролі, що асоціюються з чоловіками в певному суспільстві. Вивчення маскулінності сприяє виявленню проблем, з якими стикаються чоловіки, та просуванню позитивних ролей, спрямованих на досягнення гендерної рівності",masculinities_definition,соціологія;культурні стандарти;гендерні студії,
274,Як пояснити термін маскулінність,"Це уявлення, моделі поведінки та соціальні ролі, що асоціюються з чоловіками в певному суспільстві. Вивчення маскулінності сприяє виявленню проблем, з якими стикаються чоловіки, та просуванню позитивних ролей, спрямованих на досягнення гендерної рівності",masculinities_definition,соціологія;культурні стандарти;гендерні студії,
275,У чому полягає маскулінність,"Це уявлення, моделі поведінки та соціальні ролі, що асоціюються з чоловіками в певному суспільстві. Вивчення маскулінності сприяє виявленню проблем, з якими стикаються чоловіки, та просуванню позитивних ролей, спрямованих на досягнення гендерної рівності",masculinities_definition,соціологія;культурні стандарти;гендерні студії,
276,Що означає поняття маскулінності,"Це уявлення, моделі поведінки та соціальні ролі, що асоціюються з чоловіками в певному суспільстві. Вивчення маскулінності сприяє виявленню проблем, з якими стикаються чоловіки, та просуванню позитивних ролей, спрямованих на досягнення гендерної рівності",masculinities_definition,соціологія;культурні стандарти;гендерні студії,
277,Дай визначення маскулінності,"Це уявлення, моделі поведінки та соціальні ролі, що асоціюються з чоловіками в певному суспільстві. Вивчення маскулінності сприяє виявленню проблем, з якими стикаються чоловіки, та просуванню позитивних ролей, спрямованих на досягнення гендерної рівності",masculinities_definition,соціологія;культурні стандарти;гендерні студії,
278,Що таке невідкладні проміжні репарації?,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
279,Що таке невідкладні проміжні репарації,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
280,Як пояснити термін невідкладні проміжні репарації,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
281,У чому полягають невідкладні проміжні репарації,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
282,Що означають невідкладні проміжні репарації,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
283,Дай визначення невідкладних проміжних репарацій,"Це тимчасові заходи підтримки для осіб, які постраждали від серйозних порушень прав людини чи міжнародного гуманітарного права, що реалізуються до ухвалення довгострокових репараційних механізмів. Вони мають на меті забезпечити мінімальний рівень матеріальної або психологічної підтримки та визнання шкоди, якої зазнали постраждалі, та мають бути реалізовані без надмірних затримок.",urgent_interim_reparations_definition,міжнародне право;права людини;соціальна політика,"Такі репарації можуть охоплювати грошові виплати, психологічну допомогу, медичну підтримку або інші види негайної допомоги для полегшення наслідків завданої шкоди"
284,Що таке оцінка гендерного впливу?,"Це процес систематичного аналізу того, як рішення, політики, програми, нормативно-правові акти або відновлювальні заходи можуть по-різному впливати на жінок і чоловіків, а також осіб, що зазнають множинної дискримінації.",gender_impact_definition,державна політика;права людини;соціальна рівність,"Така оцінка дає змогу виявити потенційні гендерні дисбаланси, ризики нерівності чи дискримінації ще на етапі планування або впровадження, з метою адаптації політик для досягнення рівних прав та можливостей для всіх."
285,Як пояснити термін оцінка гендерного впливу,"Це процес систематичного аналізу того, як рішення, політики, програми, нормативно-правові акти або відновлювальні заходи можуть по-різному впливати на жінок і чоловіків, а також осіб, що зазнають множинної дискримінації.",gender_impact_definition,державна політика;права людини;соціальна рівність,"Така оцінка дає змогу виявити потенційні гендерні дисбаланси, ризики нерівності чи дискримінації ще на етапі планування або впровадження, з метою адаптації політик для досягнення рівних прав та можливостей для всіх."
286,У чому полягає оцінка гендерного впливу,"Це процес систематичного аналізу того, як рішення, політики, програми, нормативно-правові акти або відновлювальні заходи можуть по-різному впливати на жінок і чоловіків, а також осіб, що зазнають множинної дискримінації.",gender_impact_definition,державна політика;права людини;соціальна рівність,"Така оцінка дає змогу виявити потенційні гендерні дисбаланси, ризики нерівності чи дискримінації ще на етапі планування або впровадження, з метою адаптації політик для досягнення рівних прав та можливостей для всіх."
287,Що означає оцінка гендерного впливу,"Це процес систематичного аналізу того, як рішення, політики, програми, нормативно-правові акти або відновлювальні заходи можуть по-різному впливати на жінок і чоловіків, а також осіб, що зазнають множинної дискримінації.",gender_impact_definition,державна політика;права людини;соціальна рівність,"Така оцінка дає змогу виявити потенційні гендерні дисбаланси, ризики нерівності чи дискримінації ще на етапі планування або впровадження, з метою адаптації політик для досягнення рівних прав та можливостей для всіх."
288,Дай визначення оцінки гендерного впливу,"Це процес систематичного аналізу того, як рішення, політики, програми, нормативно-правові акти або відновлювальні заходи можуть по-різному впливати на жінок і чоловіків, а також осіб, що зазнають множинної дискримінації.",gender_impact_definition,державна політика;права людини;соціальна рівність,"Така оцінка дає змогу виявити потенційні гендерні дисбаланси, ризики нерівності чи дискримінації ще на етапі планування або впровадження, з метою адаптації політик для досягнення рівних прав та можливостей для всіх."
289,"Що таке поєднання роботи, сімейного та приватного життя?","Це завдання у сфері гендерної рівності, що вимагає запровадження схем сімейних та батьківських (по догляду за дітьми) відпусток, врегулювань, що дають змогу здійснювати догляд за дітьми й літніми людьми, а також створення робочого середовища (умов праці), що сприятиме поєднанню роботи, сімейного і приватного життя жінок та чоловіків",reconciliation_work_family_life_definition,ринок праці;соціальна політика;психологія,
290,"Як пояснити поняття поєднання роботи, сімейного та приватного життя","Це завдання у сфері гендерної рівності, що вимагає запровадження схем сімейних та батьківських (по догляду за дітьми) відпусток, врегулювань, що дають змогу здійснювати догляд за дітьми й літніми людьми, а також створення робочого середовища (умов праці), що сприятиме поєднанню роботи, сімейного і приватного життя жінок та чоловіків",reconciliation_work_family_life_definition,ринок праці;соціальна політика;психологія,
291,"У чому полягає поєднання роботи, сімейного та приватного життя","Це завдання у сфері гендерної рівності, що вимагає запровадження схем сімейних та батьківських (по догляду за дітьми) відпусток, врегулювань, що дають змогу здійснювати догляд за дітьми й літніми людьми, а також створення робочого середовища (умов праці), що сприятиме поєднанню роботи, сімейного і приватного життя жінок та чоловіків",reconciliation_work_family_life_definition,ринок праці;соціальна політика;психологія,
292,"Що означає поєднання роботи, сімейного та приватного життя","Це завдання у сфері гендерної рівності, що вимагає запровадження схем сімейних та батьківських (по догляду за дітьми) відпусток, врегулювань, що дають змогу здійснювати догляд за дітьми й літніми людьми, а також створення робочого середовища (умов праці), що сприятиме поєднанню роботи, сімейного і приватного життя жінок та чоловіків",reconciliation_work_family_life_definition,ринок праці;соціальна політика;психологія,
293,"Дай визначення поєднання роботи, сімейного та приватного життя","Це завдання у сфері гендерної рівності, що вимагає запровадження схем сімейних та батьківських (по догляду за дітьми) відпусток, врегулювань, що дають змогу здійснювати догляд за дітьми й літніми людьми, а також створення робочого середовища (умов праці), що сприятиме поєднанню роботи, сімейного і приватного життя жінок та чоловіків",reconciliation_work_family_life_definition,ринок праці;соціальна політика;психологія,
294,Що таке баланс роботи та життя?,"Це комфортне для жінок поєднання їхніх домашніх обов’язків не лише з турботою про утриманців чи залежних родичів, але й громадськими обовʼязками та іншими важливими життєвими пріоритетами.",work_life_balance_definition,ринок праці;соціальна політика;психологія,"Умови роботи мають бути достатньо гнучкими, щоб працівники/ці мали можливістьздійснювати навчання протягом усього життя та діяльність, що має відношення до їхнього подальшого професійного та персонального розвитку, не обовʼязково безпосередньо повʼязану з їх роботою."
295,Як пояснити термін баланс роботи та життя,"Це комфортне для жінок поєднання їхніх домашніх обов’язків не лише з турботою про утриманців чи залежних родичів, але й громадськими обовʼязками та іншими важливими життєвими пріоритетами.",work_life_balance_definition,ринок праці;соціальна політика;психологія,"Умови роботи мають бути достатньо гнучкими, щоб працівники/ці мали можливістьздійснювати навчання протягом усього життя та діяльність, що має відношення до їхнього подальшого професійного та персонального розвитку, не обовʼязково безпосередньо повʼязану з їх роботою."
296,У чому полягає баланс роботи та життя,"Це комфортне для жінок поєднання їхніх домашніх обов’язків не лише з турботою про утриманців чи залежних родичів, але й громадськими обовʼязками та іншими важливими життєвими пріоритетами.",work_life_balance_definition,ринок праці;соціальна політика;психологія,"Умови роботи мають бути достатньо гнучкими, щоб працівники/ці мали можливістьздійснювати навчання протягом усього життя та діяльність, що має відношення до їхнього подальшого професійного та персонального розвитку, не обовʼязково безпосередньо повʼязану з їх роботою."
297,Що означає баланс роботи та життя,"Це комфортне для жінок поєднання їхніх домашніх обов’язків не лише з турботою про утриманців чи залежних родичів, але й громадськими обовʼязками та іншими важливими життєвими пріоритетами.",work_life_balance_definition,ринок праці;соціальна політика;психологія,"Умови роботи мають бути достатньо гнучкими, щоб працівники/ці мали можливістьздійснювати навчання протягом усього життя та діяльність, що має відношення до їхнього подальшого професійного та персонального розвитку, не обовʼязково безпосередньо повʼязану з їх роботою."
298,Дай визначення балансу роботи та життя,"Це комфортне для жінок поєднання їхніх домашніх обов’язків не лише з турботою про утриманців чи залежних родичів, але й громадськими обовʼязками та іншими важливими життєвими пріоритетами.",work_life_balance_definition,ринок праці;соціальна політика;психологія,"Умови роботи мають бути достатньо гнучкими, щоб працівники/ці мали можливістьздійснювати навчання протягом усього життя та діяльність, що має відношення до їхнього подальшого професійного та персонального розвитку, не обовʼязково безпосередньо повʼязану з їх роботою."
299,Що таке баланс роботи та сімейних обов’язків?,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
300,Що таке баланс роботи та сімейних обов’язків,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
301,Як пояснити поняття баланс роботи та сімейних обов’язків,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
302,У чому полягає баланс роботи та сімейних обов’язків,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
303,Що означає баланс роботи та сімейних обов’язків,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
304,Дай визначення балансу роботи та сімейних обов’язків,"Це подвійна відповідальність за утримання домогосподарства і сімʼї, а також виконання оплачуваної роботи. Досягнення балансу між роботою і сімейним життям є одним з центральних принципів просування рівних можливостей.",work_family_balance,ринок праці;соціальна політика;гендерні студії,"Материнство та ґендерний розподіл праці покладають цю відповідальність насамперед на жінок. Ця ситуація є важливим фактором ґендерно зумовлених нерівностей як між статями, так поміж жінок. Конфлікт між цими сімейними обовʼязками і вимогами на роботі значною мірою спричиняє невигідне становище жінок на ринку праці та уповільнює прогрес у досягненні рівних можливостей і рівного ставлення до жінок та чоловіків при працевлаштуванні."
305,Що таке платформа забезпечення гендерного мейнстримінгу та інклюзії у відновленні?,"Це дорадчий орган при Комісії з питань координації взаємодії органів виконавчої влади щодо забезпечення рівних прав та можливостей жінок і чоловіків, створений 13 вересня 2023 року за підсумками Міжнародної конференції з питань відновлення України (URC) у Лондоні.",platform_gender_mainstreaming_definition,державна політика;соціальна політика;інклюзія,"Метою Платформи є координація дій органів виконавчої влади, представників громадянського суспільства, бізнесу, міжнародних партнерів та організацій задля інтеграції принципів гендерної рівності та інклюзії в усі етапи відновлення України. Платформа напрацьовує рішення щодо включення гендерного складника в національні, галузеві та регіональні політики відновлення."
306,У чому полягає діяльність платформи гендерного мейнстримінгу та інклюзії у відновленні,"Метою Платформи є координація дій органів виконавчої влади, представників громадянського суспільства, бізнесу, міжнародних партнерів та організацій задля інтеграції принципів гендерної рівності та інклюзії в усі етапи відновлення України. Платформа напрацьовує рішення щодо включення гендерного складника в національні, галузеві та регіональні політики відновлення.",platform_gender_mainstreaming_definition,державна політика;соціальна політика;інклюзія,
307,Що означає платформа забезпечення гендерного мейнстримінгу та інклюзії,"Це дорадчий орган при Комісії з питань координації взаємодії органів виконавчої влади щодо забезпечення рівних прав та можливостей жінок і чоловіків, створений 13 вересня 2023 року за підсумками Міжнародної конференції з питань відновлення України (URC) у Лондоні.",platform_gender_mainstreaming_definition,державна політика;соціальна політика;інклюзія,"Метою Платформи є координація дій органів виконавчої влади, представників громадянського суспільства, бізнесу, міжнародних партнерів та організацій задля інтеграції принципів гендерної рівності та інклюзії в усі етапи відновлення України. Платформа напрацьовує рішення щодо включення гендерного складника в національні, галузеві та регіональні політики відновлення."
308,Дай визначення платформи гендерного мейнстримінгу та інклюзії у відновленні,"Це дорадчий орган при Комісії з питань координації взаємодії органів виконавчої влади щодо забезпечення рівних прав та можливостей жінок і чоловіків, створений 13 вересня 2023 року за підсумками Міжнародної конференції з питань відновлення України (URC) у Лондоні.",platform_gender_mainstreaming_definition,державна політика;соціальна політика;інклюзія,"Метою Платформи є координація дій органів виконавчої влади, представників громадянського суспільства, бізнесу, міжнародних партнерів та організацій задля інтеграції принципів гендерної рівності та інклюзії в усі етапи відновлення України. Платформа напрацьовує рішення щодо включення гендерного складника в національні, галузеві та регіональні політики відновлення."
309,Що таке постраждалоорієнтований підхід?,"Це підхід до взаємодії з постраждалими, який ставить у центр уваги визнання їхньої гідності, прав, потреб і бажань. Його мета — забезпечити 
фізичну та емоційну безпеку постраждалих, сприяти їхньому відновленню та посилити спроможність особисто ухвалювати рішення щодо свого життя та становища. Такий підхід базується на принципах поваги, недискримінації, уникнення повторної травматизації, активного слухання, забезпечення інформованого вибору, а також системного фокусу на безпеці, добробуті та висловлених потребах постраждалих осіб",survivor_centred_approach_definition,права людини;соціальна політика;управління ризиками,"Також вживається термін “потерпілоорієнтований підхід (підхід, орієнтований на потерпілу особу)”, особливо в контексті кримінального судочинства"
310,Як пояснити термін постраждалоорієнтований підхід,"Це підхід до взаємодії з постраждалими, який ставить у центр уваги визнання їхньої гідності, прав, потреб і бажань. Його мета — забезпечити 
фізичну та емоційну безпеку постраждалих, сприяти їхньому відновленню та посилити спроможність особисто ухвалювати рішення щодо свого життя та становища. Такий підхід базується на принципах поваги, недискримінації, уникнення повторної травматизації, активного слухання, забезпечення інформованого вибору, а також системного фокусу на безпеці, добробуті та висловлених потребах постраждалих осіб",survivor_centred_approach_definition,права людини;соціальна політика;управління ризиками,"Також вживається термін “потерпілоорієнтований підхід (підхід, орієнтований на потерпілу особу)”, особливо в контексті кримінального судочинства"
311,У чому полягає постраждалоорієнтований підхід,"Це підхід до взаємодії з постраждалими, який ставить у центр уваги визнання їхньої гідності, прав, потреб і бажань. Його мета — забезпечити 
фізичну та емоційну безпеку постраждалих, сприяти їхньому відновленню та посилити спроможність особисто ухвалювати рішення щодо свого життя та становища. Такий підхід базується на принципах поваги, недискримінації, уникнення повторної травматизації, активного слухання, забезпечення інформованого вибору, а також системного фокусу на безпеці, добробуті та висловлених потребах постраждалих осіб",survivor_centred_approach_definition,права людини;соціальна політика;управління ризиками,"Також вживається термін “потерпілоорієнтований підхід (підхід, орієнтований на потерпілу особу)”, особливо в контексті кримінального судочинства"
312,Що означає постраждалоорієнтований підхід у практиці,"Це підхід до взаємодії з постраждалими, який ставить у центр уваги визнання їхньої гідності, прав, потреб і бажань. Його мета — забезпечити 
фізичну та емоційну безпеку постраждалих, сприяти їхньому відновленню та посилити спроможність особисто ухвалювати рішення щодо свого життя та становища. Такий підхід базується на принципах поваги, недискримінації, уникнення повторної травматизації, активного слухання, забезпечення інформованого вибору, а також системного фокусу на безпеці, добробуті та висловлених потребах постраждалих осіб",survivor_centred_approach_definition,права людини;соціальна політика;управління ризиками,"Також вживається термін “потерпілоорієнтований підхід (підхід, орієнтований на потерпілу особу)”, особливо в контексті кримінального судочинства"
313,Дай визначення постраждалоорієнтованого підходу,"Це підхід до взаємодії з постраждалими, який ставить у центр уваги визнання їхньої гідності, прав, потреб і бажань. Його мета — забезпечити 
фізичну та емоційну безпеку постраждалих, сприяти їхньому відновленню та посилити спроможність особисто ухвалювати рішення щодо свого життя та становища. Такий підхід базується на принципах поваги, недискримінації, уникнення повторної травматизації, активного слухання, забезпечення інформованого вибору, а також системного фокусу на безпеці, добробуті та висловлених потребах постраждалих осіб",survivor_centred_approach_definition,права людини;соціальна політика;управління ризиками,"Також вживається термін “потерпілоорієнтований підхід (підхід, орієнтований на потерпілу особу)”, особливо в контексті кримінального судочинства"
